time,open,high,low,close,volume,RSI,SMA_25,SMA_50,wave_tag,tag,strategy_signal
2025-05-30 18:33:00,105713.35,105738.73,105627.81,105728.39,5.1302,71.06787258518835,105533.3128,105475.1296,0,0,0
2025-05-30 18:34:00,105694.54,105694.54,105625.93,105625.93,7.9288,61.07001636214838,105542.9008,105486.748,1,0,0
2025-05-30 18:35:00,105625.93,105654.12,105625.93,105630.62,10.8717,53.713498287635936,105554.4432,105495.5464,0,0,0
2025-05-30 18:36:00,105630.62,105712.4,105628.75,105712.4,19.3864,56.05725389099445,105568.7688,105505.9992,0,0,0
2025-05-30 18:37:00,105712.4,105749.06,105705.83,105705.83,17.3405,52.2000040684315,105580.6128,105518.1064,0,0,0
2025-05-30 18:38:00,105705.83,105739.67,105666.34,105739.67,27.3937,55.37760491143821,105597.3824,105530.834,0,0,0
2025-05-30 18:39:00,105739.67,105761.29,105714.29,105761.29,9.159,67.07144085282044,105614.9416,105543.2046,0,0,0
2025-05-30 18:40:00,105761.29,105794.18,105751.89,105794.18,9.1542,70.84967857216262,105633.4028,105554.917,0,0,0
2025-05-30 18:41:00,105794.18,105794.18,105756.59,105756.59,11.8882,66.24673528959914,105647.0516,105565.8398,0,0,0
2025-05-30 18:42:00,105756.59,105768.81,105746.25,105749.06,12.0962,62.35494670254076,105658.0304,105574.7508,0,0,0
2025-05-30 18:43:00,105738.73,105812.98,105738.73,105812.98,5.8787,62.49974425599003,105672.1304,105584.4138,0,0,0
2025-05-30 18:44:00,105812.98,105813.93,105804.53,105804.53,6.2955,61.78802588996754,105683.6736,105591.7082,0,0,0
2025-05-30 18:45:00,105804.53,105809.23,105777.26,105809.23,13.7181,65.60768222006078,105696.2016,105597.4988,0,0,0
2025-05-30 18:46:00,105809.23,105841.18,105809.23,105841.18,6.5852,64.1083371962117,105706.09,105603.1012,0,0,0
2025-05-30 18:47:00,105841.18,105880.67,105841.18,105880.67,21.816,65.94621764262428,105715.3396,105608.9668,0,0,0
2025-05-30 18:48:00,105880.67,105880.67,105868.45,105878.79,10.6253,83.54470681878671,105723.1232,105613.3848,0,0,0
